sweep_name,output,value_low,value_high,relative_change,trend
N_cables,max_gondola_swing_angle_deg,9.025464510953665,9.068909237045265,0.004813572314075797,approximately unchanged
N_cables,max_gondola_swing_rate_deg_s,9.543117288086252,9.820742493761578,0.029091668612510602,approximately unchanged
N_cables,max_gondola_yaw_deg,9.113322609092744,9.109740184659932,-0.0003930975108066369,approximately unchanged
N_cables,max_gondola_yaw_rate_deg_s,8.00387211936678,7.989167638555521,-0.0018371708832878658,approximately unchanged
N_cables,settling_time_pendulum_s,1404.6447555363627,1394.5860544791897,-0.007161028450451253,approximately unchanged
N_cables,settling_time_torsion_s,4270.2917483338815,4270.164828157386,-2.972166399282955e-05,approximately unchanged
N_cables,peak_total_cable_tension_N,919.5628593859033,931.4652678226038,0.012943550639538774,approximately unchanged
N_cables,peak_per_cable_tension_N,306.5209531286344,116.43315847782547,-0.6201461685101729,decreases
N_cables,minimum_per_cable_tension_N,288.7975965502443,109.36469432461912,-0.6213102337726966,decreases
N_cables,dynamic_static_tension_ratio,1.0482550333160479,1.0513721599167944,0.002973633802535512,approximately unchanged
N_cables,maximum_torsional_torque_Nm,2.234457502138292,2.302713201247047,0.030546877281593617,approximately unchanged
N_cables,maximum_torsion_element_twist_deg,0.9752076970320933,0.996515821426928,0.021849832050836876,approximately unchanged
N_cables,required_imu_sampling_10x_hz,467.8194164123753,287.1976157772066,-0.386092997208892,decreases
N_cables,required_imu_sampling_20x_hz,935.6388328247506,574.3952315544132,-0.386092997208892,decreases
r,dominant_pendulum_period_s,11.016058743303228,11.016058743303228,0.0,approximately unchanged
r,dominant_torsion_period_s,11.165456334147265,1.4044169956076344,-0.8742176805337984,decreases
r,dominant_pendulum_frequency_hz,0.09077656749133713,0.09077656749133713,0.0,approximately unchanged
r,dominant_torsion_frequency_hz,0.08956194624501862,0.7120392327403731,6.950242961362358,increases
r,max_gondola_swing_angle_deg,9.035306838768902,9.035306838768902,0.0,approximately unchanged
r,max_gondola_swing_rate_deg_s,9.597131389181234,9.597131389181234,0.0,approximately unchanged
r,max_gondola_yaw_deg,10.203185937044418,8.0,-0.21593117587374092,decreases
