L_susp,N_cables,r_attach,m_gondola,m_one_cable_total,m_cables_total,zeta_pendulum,zeta_torsion,gondola_shape,I_gondola_tilt,I_gondola_yaw,gondola_reference_size,disturbance_case,pend_initial_angle_deg,pend_initial_rate_deg_s,torsion_initial_twist_deg,torsion_initial_yaw_rate_deg_s,dominant_pendulum_period_s,dominant_torsion_period_s,dominant_pendulum_frequency_hz,dominant_torsion_frequency_hz,max_gondola_swing_angle_deg,max_gondola_swing_rate_deg_s,max_gondola_yaw_deg,max_gondola_yaw_rate_deg_s,settling_time_pendulum_s,settling_time_torsion_s,peak_total_cable_tension_N,peak_per_cable_tension_N,minimum_per_cable_tension_N,dynamic_static_tension_ratio,maximum_torsional_torque_Nm,maximum_torsion_element_twist_deg,f_max_relevant_hz,required_imu_sampling_10x_hz,required_imu_sampling_20x_hz,feasible,violations,case_id,sweep_name,varied_parameter,varied_value
15.0,4,0.5,100.0,0.2,0.8,0.005,0.0179,cube,16.7,16.7,side=1.00,high,8.0,3.0,8.0,3.0,11.016,6.708,0.0908,0.1491,9.04,9.6,8.61,7.774,1402.6,238.7,921.9,230.5,217.0,1.049,2.238,0.973,40.5346,405.3,810.7,OK,OK,43,zeta_torsion,zeta_torsion,0.01789
15.0,4,0.5,100.0,0.2,0.8,0.005,0.02,cube,16.7,16.7,side=1.00,high,8.0,3.0,8.0,3.0,11.016,6.708,0.0908,0.1491,9.04,9.6,8.61,7.748,1402.6,213.5,921.9,230.5,217.0,1.049,2.237,0.9726,40.5346,405.3,810.7,OK,OK,44,zeta_torsion,zeta_torsion,0.02
15.0,4,0.5,50.0,0.2,0.8,0.005,0.001,cube,8.3,8.3,side=1.00,high,8.0,3.0,8.0,3.0,74.478,6.718,0.0134,0.1489,9.13,9.98,8.68,8.013,9482.8,4276.8,466.9,116.7,109.3,1.054,1.151,0.9972,28.7198,287.2,574.4,OK,OK,45,m_gondola,m_gondola,50.0
15.0,4,0.5,81.2,0.2,0.8,0.005,0.001,cube,13.5,13.5,side=1.00,high,8.0,3.0,8.0,3.0,13.087,6.712,0.0764,0.149,9.07,9.59,8.95,8.006,1666.2,4272.7,750.4,187.6,176.5,1.05,1.836,0.9839,36.5431,365.4,730.9,OK,OK,46,m_gondola,m_gondola,81.2
15.0,4,0.5,112.5,0.2,0.8,0.005,0.001,cube,18.8,18.8,side=1.00,high,8.0,3.0,8.0,3.0,10.223,6.705,0.0978,0.1491,9.02,10.2,9.22,7.998,1301.6,4268.6,1043.4,260.8,243.9,1.056,2.523,0.976,42.9839,429.8,859.7,OK,OK,47,m_gondola,m_gondola,112.5
15.0,4,0.5,143.8,0.2,0.8,0.005,0.001,cube,24.0,24.0,side=1.00,high,8.0,3.0,8.0,3.0,9.011,6.699,0.111,0.1493,8.98,10.9,9.49,7.998,1147.3,4264.5,1342.0,335.5,311.4,1.064,3.203,0.9726,48.5781,485.8,971.6,OK,OK,48,m_gondola,m_gondola,143.8
15.0,4,0.5,175.0,0.2,0.8,0.005,0.001,cube,29.2,29.2,side=1.00,high,8.0,3.0,8.0,3.0,8.281,6.692,0.1208,0.1494,8.94,10.21,9.75,7.994,1054.4,4260.5,1619.5,404.9,378.6,1.056,3.895,0.9743,53.5763,535.8,1071.5,OK,OK,49,m_gondola,m_gondola,175.0
15.0,4,0.5,206.2,0.2,0.8,0.005,0.001,cube,34.4,34.4,side=1.00,high,8.0,3.0,8.0,3.0,7.761,6.686,0.1288,0.1496,8.91,12.1,10.02,7.989,988.2,4256.4,1948.1,487.0,445.8,1.079,4.581,0.9731,58.1464,581.5,1162.9,FAIL,yaw<=10deg,50,m_gondola,m_gondola,206.2
15.0,4,0.5,237.5,0.2,0.8,0.005,0.001,cube,39.6,39.6,side=1.00,high,8.0,3.0,8.0,3.0,7.355,6.68,0.136,0.1497,8.89,10.73,10.28,7.986,936.5,4252.4,2205.6,551.4,513.3,1.061,5.284,0.9716,62.3957,624.0,1247.9,FAIL,yaw<=10deg,51,m_gondola,m_gondola,237.5
15.0,4,0.5,268.8,0.2,0.8,0.005,0.001,cube,44.8,44.8,side=1.00,high,8.0,3.0,8.0,3.0,7.022,6.673,0.1424,0.1499,8.97,12.07,10.54,7.987,894.1,4248.3,2532.2,633.0,580.6,1.077,5.959,0.9695,66.3735,663.7,1327.5,FAIL,yaw<=10deg,52,m_gondola,m_gondola,268.8
15.0,4,0.5,300.0,0.2,0.8,0.005,0.001,cube,50.0,50.0,side=1.00,high,8.0,3.0,8.0,3.0,6.74,6.667,0.1484,0.15,8.84,13.73,10.8,7.983,858.2,4244.3,2889.2,722.3,648.0,1.102,6.652,0.9689,70.1144,701.1,1402.3,FAIL,yaw<=10deg,53,m_gondola,m_gondola,300.0
15.0,4,0.5,100.0,0.05,0.2,0.005,0.001,cube,16.7,16.7,side=1.00,high,8.0,3.0,8.0,3.0,11.064,6.708,0.0904,0.1491,9.01,9.42,9.11,8.001,1408.8,4270.3,914.7,228.7,215.7,1.047,2.205,0.9648,80.9476,809.5,1619.0,OK,OK,54,m_one_cable_total,m_one_cable_total,0.05
15.0,4,0.5,100.0,0.21,0.84,0.005,0.001,cube,16.7,16.7,side=1.00,high,8.0,3.0,8.0,3.0,11.013,6.708,0.0908,0.1491,9.04,9.61,9.11,8.0,1402.2,4270.3,922.4,230.6,217.1,1.049,2.251,0.9847,39.4683,394.7,789.4,OK,OK,55,m_one_cable_total,m_one_cable_total,0.211
15.0,4,0.5,100.0,0.37,1.49,0.005,0.001,cube,16.7,16.7,side=1.00,high,8.0,3.0,8.0,3.0,10.962,6.708,0.0912,0.1491,9.06,9.79,9.11,8.001,1395.7,4270.2,930.2,232.5,218.5,1.051,2.271,0.9893,29.7727,297.7,595.5,OK,OK,56,m_one_cable_total,m_one_cable_total,0.372
15.0,4,0.5,100.0,0.53,2.13,0.005,0.001,cube,16.7,16.7,side=1.00,high,8.0,3.0,8.0,3.0,10.912,6.707,0.0916,0.1491,9.1,10.03,9.11,7.997,1389.4,4270.1,938.7,234.7,219.9,1.054,2.296,1.0002,24.913,249.1,498.3,OK,OK,57,m_one_cable_total,m_one_cable_total,0.533
15.0,4,0.5,100.0,0.69,2.78,0.005,0.001,cube,16.7,16.7,side=1.00,high,8.0,3.0,8.0,3.0,10.863,6.707,0.0921,0.1491,9.14,10.26,9.11,7.982,1383.1,4270.0,946.9,236.7,221.2,1.057,2.314,1.0029,21.868,218.7,437.4,OK,OK,58,m_one_cable_total,m_one_cable_total,0.694
15.0,4,0.5,100.0,0.86,3.42,0.005,0.001,cube,16.7,16.7,side=1.00,high,8.0,3.0,8.0,3.0,10.815,6.707,0.0925,0.1491,9.18,10.48,9.1,7.991,1377.0,4269.9,955.2,238.8,222.6,1.059,2.348,1.0119,19.7222,197.2,394.4,OK,OK,59,m_one_cable_total,m_one_cable_total,0.856
15.0,4,0.5,100.0,1.02,4.07,0.005,0.001,cube,16.7,16.7,side=1.00,high,8.0,3.0,8.0,3.0,10.768,6.707,0.0929,0.1491,9.23,10.44,9.1,7.956,1371.0,4269.9,961.0,240.3,223.9,1.059,2.407,1.0154,18.123,181.2,362.5,OK,OK,60,m_one_cable_total,m_one_cable_total,1.017
15.0,4,0.5,100.0,1.18,4.71,0.005,0.001,cube,16.7,16.7,side=1.00,high,8.0,3.0,8.0,3.0,10.722,6.707,0.0933,0.1491,9.27,10.49,9.1,7.999,1365.1,4269.8,967.3,241.8,225.3,1.059,2.396,1.0395,16.8662,168.7,337.3,OK,OK,61,m_one_cable_total,m_one_cable_total,1.178
15.0,4,0.5,100.0,1.34,5.36,0.005,0.001,cube,16.7,16.7,side=1.00,high,8.0,3.0,8.0,3.0,10.677,6.707,0.0937,0.1491,9.3,10.61,9.1,8.001,1359.4,4269.7,974.7,243.7,226.7,1.061,2.465,1.0277,15.8452,158.5,316.9,OK,OK,62,m_one_cable_total,m_one_cable_total,1.339
15.0,4,0.5,100.0,1.5,6.0,0.005,0.001,cube,16.7,16.7,side=1.00,high,8.0,3.0,8.0,3.0,10.632,6.707,0.0941,0.1491,9.34,11.26,9.09,7.993,1353.7,4269.6,987.8,246.9,228.1,1.069,2.464,1.0471,14.9948,149.9,299.9,OK,OK,63,m_one_cable_total,m_one_cable_total,1.5
15.0,4,0.5,100.0,0.2,0.8,0.005,0.001,solid_cylinder,17.1,14.7,"R=0.54, h=1.08",high,8.0,3.0,8.0,3.0,11.019,6.3,0.0907,0.1587,9.02,8.75,8.9,8.453,1403.0,4010.6,914.6,228.7,217.0,1.041,2.229,0.9689,40.5347,405.3,810.7,OK,OK,64,gondola_shape,gondola_shape,solid_cylinder
15.0,4,0.5,100.0,0.2,0.8,0.005,0.001,cube,16.7,16.7,side=1.00,high,8.0,3.0,8.0,3.0,11.016,6.708,0.0908,0.1491,9.04,9.6,9.11,7.997,1402.6,4270.3,921.9,230.5,217.0,1.049,2.252,0.979,40.5346,405.3,810.7,OK,OK,65,gondola_shape,gondola_shape,cube
15.0,4,0.5,100.0,0.2,0.8,0.005,0.001,solid_sphere,15.4,15.4,R=0.62,high,8.0,3.0,8.0,3.0,11.025,6.449,0.0907,0.1551,8.95,8.75,8.97,8.276,1403.8,4105.9,915.4,228.9,217.1,1.041,2.236,0.9777,40.5346,405.3,810.7,OK,OK,66,gondola_shape,gondola_shape,solid_sphere
15.0,4,0.5,100.0,0.2,0.8,0.005,0.001,rectangular_box,20.9,38.1,"a=1.78, b=1.19, c=0.47",high,8.0,3.0,8.0,3.0,10.996,10.087,0.0909,0.0991,9.8,11.74,10.81,5.749,1400.0,6421.4,942.4,235.6,216.5,1.072,2.428,1.0564,40.5346,405.3,810.7,FAIL,yaw<=10deg,67,gondola_shape,gondola_shape,rectangular_box
