L_susp,N_cables,r_attach,m_gondola,m_one_cable_total,m_cables_total,zeta_pendulum,zeta_torsion,gondola_shape,I_gondola_tilt,I_gondola_yaw,gondola_reference_size,disturbance_case,pend_initial_angle_deg,pend_initial_rate_deg_s,torsion_initial_twist_deg,torsion_initial_yaw_rate_deg_s,dominant_pendulum_period_s,dominant_torsion_period_s,dominant_pendulum_frequency_hz,dominant_torsion_frequency_hz,max_gondola_swing_angle_deg,max_gondola_swing_rate_deg_s,max_gondola_yaw_deg,max_gondola_yaw_rate_deg_s,settling_time_pendulum_s,settling_time_torsion_s,peak_total_cable_tension_N,peak_per_cable_tension_N,minimum_per_cable_tension_N,dynamic_static_tension_ratio,maximum_torsional_torque_Nm,maximum_torsion_element_twist_deg,f_max_relevant_hz,required_imu_sampling_10x_hz,required_imu_sampling_20x_hz,feasible,violations,passes,config_id
12.0,3,1.0,100.0,0.1,0.30000000000000004,0.01,0.005,solid_sphere,15.395846399999996,15.395846399999996,R=0.62,high,8.0,3.0,8.0,3.0,10.840125791867527,2.8909771939940665,0.09224985200358278,0.3459038009976264,8.84761256534042,9.82136452878556,8.108461106415431,17.389394347855742,690.1038414054653,368.09064863207436,911.789775930892,303.92992531029734,288.07678257339154,1.0425029680807258,10.42437322732899,0.9110044561207554,73.91350859885573,739.1350859885573,1478.2701719771146,OK,OK,True,232
12.0,3,1.0,100.0,0.1,0.30000000000000004,0.01,0.01,solid_sphere,15.395846399999996,15.395846399999996,R=0.62,high,8.0,3.0,8.0,3.0,10.840125791867527,2.8909771939940665,0.09224985200358278,0.3459038009976264,8.84761256534042,9.82136452878556,8.108282663517898,17.253119781061528,690.1038414054653,184.04532431603718,911.789775930892,303.92992531029734,288.07678257339154,1.0425029680807258,10.422955584599318,0.9107848374932497,73.91350859885573,739.1350859885573,1478.2701719771146,OK,OK,True,233
12.0,3,1.0,100.0,0.1,0.30000000000000004,0.02,0.005,solid_sphere,15.395846399999996,15.395846399999996,R=0.62,high,8.0,3.0,8.0,3.0,10.840125791867527,2.8909771939940665,0.09224985200358278,0.3459038009976264,8.83807630788138,8.92612031713381,8.108461106415431,17.389394347855742,345.0519207027327,368.09064863207436,905.3367838403649,301.7789279467883,288.08633778268916,1.0351248820515118,10.42437322732899,0.9110044561207554,73.91350859885573,739.1350859885573,1478.2701719771146,OK,OK,True,234
12.0,3,1.0,100.0,0.1,0.30000000000000004,0.02,0.01,solid_sphere,15.395846399999996,15.395846399999996,R=0.62,high,8.0,3.0,8.0,3.0,10.840125791867527,2.8909771939940665,0.09224985200358278,0.3459038009976264,8.83807630788138,8.92612031713381,8.108282663517898,17.253119781061528,345.0519207027327,184.04532431603718,905.3367838403649,301.7789279467883,288.08633778268916,1.0351248820515118,10.422955584599318,0.9107848374932497,73.91350859885573,739.1350859885573,1478.2701719771146,OK,OK,True,235
12.0,3,1.0,100.0,0.1,0.30000000000000004,0.01,0.005,rectangular_box,20.909478749999995,38.069615999999996,"a=1.78, b=1.19, c=0.47",high,8.0,3.0,8.0,3.0,10.812605902429395,4.518451081510458,0.09248464329725715,0.2213147784407823,9.247464406042688,13.818504963178643,8.287428519158398,11.22493950518592,688.3518708304969,575.3070597930479,945.6416348383453,315.21387827944847,287.7563563568388,1.0812077927208574,10.661427497314742,0.9313898071379692,73.91327776748064,739.1327776748063,1478.2655553496127,OK,OK,True,236
12.0,3,1.0,100.0,0.1,0.30000000000000004,0.01,0.01,rectangular_box,20.909478749999995,38.069615999999996,"a=1.78, b=1.19, c=0.47",high,8.0,3.0,8.0,3.0,10.812605902429395,4.518451081510458,0.09248464329725715,0.2213147784407823,9.247464406042688,13.818504963178643,8.286901916317758,11.138301424720694,688.3518708304969,287.65352989652393,945.6416348383453,315.21387827944847,287.7563563568388,1.0812077927208574,10.65148343984523,0.9306148438297919,73.91327776748064,739.1327776748063,1478.2655553496127,OK,OK,True,237
12.0,3,1.0,100.0,0.1,0.30000000000000004,0.02,0.005,rectangular_box,20.909478749999995,38.069615999999996,"a=1.78, b=1.19, c=0.47",high,8.0,3.0,8.0,3.0,10.812605902429395,4.518451081510458,0.09248464329725715,0.2213147784407823,9.231347386113992,13.474388325502291,8.287428519158398,11.22493950518592,344.17593541524843,575.3070597930479,942.0891757777476,314.02972525924923,287.76669988619796,1.0771460569870066,10.661427497314742,0.9313898071379692,73.91327776748064,739.1327776748063,1478.2655553496127,OK,OK,True,238
12.0,3,1.0,100.0,0.1,0.30000000000000004,0.02,0.01,rectangular_box,20.909478749999995,38.069615999999996,"a=1.78, b=1.19, c=0.47",high,8.0,3.0,8.0,3.0,10.812605902429395,4.518451081510458,0.09248464329725715,0.2213147784407823,9.231347386113992,13.474388325502291,8.286901916317758,11.138301424720694,344.17593541524843,287.65352989652393,942.0891757777476,314.02972525924923,287.76669988619796,1.0771460569870066,10.65148343984523,0.9306148438297919,73.91327776748064,739.1327776748063,1478.2655553496127,OK,OK,True,239
12.0,3,1.25,100.0,0.1,0.30000000000000004,0.01,0.005,solid_cylinder,33.04519375,65.09405000000001,"R=1.14, h=0.24",high,8.0,3.0,8.0,3.0,10.804778033949562,4.702953813117595,0.09255164676756081,0.2126323242237198,21.404475847109314,28.751991215325628,9.449824945997564,10.677975489361414,687.8535332455214,598.7986771924345,1179.9033891022027,393.30112970073424,271.52252587419804,1.3490530576872626,16.702284543427712,0.9338389304334936,73.91326552311759,739.1326552311759,1478.2653104623519,FAIL,swing>=10deg,False,240
12.0,3,1.25,100.0,0.1,0.30000000000000004,0.01,0.01,solid_cylinder,33.04519375,65.09405000000001,"R=1.14, h=0.24",high,8.0,3.0,8.0,3.0,10.804778033949562,4.702953813117595,0.09255164676756081,0.2126323242237198,21.404475847109314,28.751991215325628,8.313597997443358,10.594871774682561,687.8535332455214,299.39933859621726,1179.9033891022027,393.30112970073424,271.52252587419804,1.3490530576872626,16.686838917826716,0.9329753523730427,73.91326552311759,739.1326552311759,1478.2653104623519,FAIL,swing>=10deg,False,241
